City,Post
Mumbai,Accident reported near Powai. Expect delays.
Bangalore,"Police checkpoint near Indiranagar, causing minor delays."
Bangalore,Rain causing waterlogging near Indiranagar. Drive carefully!
Mumbai,"Road construction near Andheri, causing slow traffic."
Hyderabad,Rain causing waterlogging near Gachibowli. Drive carefully!
Mumbai,"Road construction near Colaba, causing slow traffic."
Delhi,"Avoid Karol Bagh if possible, traffic jam reported."
Bangalore,Rain causing waterlogging near Marathahalli. Drive carefully!
Bangalore,Accident reported near Electronic City. Expect delays.
Mumbai,Peak hour traffic near Bandra. Plan accordingly.
Hyderabad,"Police checkpoint near Jubilee Hills, causing minor delays."
Bangalore,Marathahalli route is experiencing high traffic volume.
Hyderabad,"Traffic is heavy near Jubilee Hills, please take another route."
Hyderabad,Peak hour traffic near Secunderabad. Plan accordingly.
Mumbai,Powai route is experiencing high traffic volume.
Bangalore,"Traffic moving smoothly near Electronic City, all clear!"
Bangalore,"Traffic is heavy near Electronic City, please take another route."
Bangalore,"Avoid Kasavanahalli if possible, traffic jam reported."
Delhi,"Traffic moving smoothly near Dwarka, all clear!"
Delhi,"Traffic moving smoothly near Karol Bagh, all clear!"
Hyderabad,Peak hour traffic near Gachibowli. Plan accordingly.
Mumbai,Accident reported near Colaba. Expect delays.
Mumbai,Colaba route is experiencing high traffic volume.
Bangalore,Koramangala route is experiencing high traffic volume.
Bangalore,"Traffic is heavy near Kasavanahalli, please take another route."
Bangalore,"Police checkpoint near Electronic City, causing minor delays."
Hyderabad,"Road construction near Banjara Hills, causing slow traffic."
Mumbai,"Avoid Dadar if possible, traffic jam reported."
Delhi,Vehicle breakdown near Connaught Place causing congestion.
Hyderabad,"Road construction near Hitech City, causing slow traffic."
Mumbai,"Avoid Bandra if possible, traffic jam reported."
Bangalore,"Road construction near Kasavanahalli, causing slow traffic."
Delhi,Connaught Place route is experiencing high traffic volume.
Delhi,"Police checkpoint near Karol Bagh, causing minor delays."
Hyderabad,"Police checkpoint near Secunderabad, causing minor delays."
Hyderabad,"Road construction near Gachibowli, causing slow traffic."
Hyderabad,"Avoid Secunderabad if possible, traffic jam reported."
Delhi,Chandni Chowk route is experiencing high traffic volume.
Delhi,Peak hour traffic near Chandni Chowk. Plan accordingly.
Hyderabad,"Avoid Banjara Hills if possible, traffic jam reported."
Bangalore,"Traffic moving smoothly near Marathahalli, all clear!"
Bangalore,"Police checkpoint near Marathahalli, causing minor delays."
Delhi,"Police checkpoint near Saket, causing minor delays."
Hyderabad,Accident reported near Hitech City. Expect delays.
Hyderabad,"Traffic moving smoothly near Secunderabad, all clear!"
Hyderabad,Rain causing waterlogging near Secunderabad. Drive carefully!
Hyderabad,Peak hour traffic near Jubilee Hills. Plan accordingly.
Hyderabad,Secunderabad route is experiencing high traffic volume.
Bangalore,"Traffic moving smoothly near Kasavanahalli, all clear!"
Mumbai,Vehicle breakdown near Andheri causing congestion.
Bangalore,"Road construction near Indiranagar, causing slow traffic."
Delhi,Rain causing waterlogging near Karol Bagh. Drive carefully!
Mumbai,"Police checkpoint near Powai, causing minor delays."
