City,Post,Cleaned_Post
Mumbai,Accident reported near Powai. Expect delays.,accident reported near powai expect delays
Bangalore,"Police checkpoint near Indiranagar, causing minor delays.",police checkpoint near indiranagar causing minor delays
Bangalore,Rain causing waterlogging near Indiranagar. Drive carefully!,rain causing waterlogging near indiranagar drive carefully
Mumbai,"Road construction near Andheri, causing slow traffic.",road construction near andheri causing slow traffic
Hyderabad,Rain causing waterlogging near Gachibowli. Drive carefully!,rain causing waterlogging near gachibowli drive carefully
Mumbai,"Road construction near Colaba, causing slow traffic.",road construction near colaba causing slow traffic
Delhi,"Avoid Karol Bagh if possible, traffic jam reported.",avoid karol bagh possible traffic jam reported
Bangalore,Rain causing waterlogging near Marathahalli. Drive carefully!,rain causing waterlogging near marathahalli drive carefully
Bangalore,Accident reported near Electronic City. Expect delays.,accident reported near electronic city expect delays
Mumbai,Peak hour traffic near Bandra. Plan accordingly.,peak hour traffic near bandra plan accordingly
Hyderabad,"Police checkpoint near Jubilee Hills, causing minor delays.",police checkpoint near jubilee hills causing minor delays
Bangalore,Marathahalli route is experiencing high traffic volume.,marathahalli route experiencing high traffic volume
Hyderabad,"Traffic is heavy near Jubilee Hills, please take another route.",traffic heavy near jubilee hills please take another route
Hyderabad,Peak hour traffic near Secunderabad. Plan accordingly.,peak hour traffic near secunderabad plan accordingly
Mumbai,Powai route is experiencing high traffic volume.,powai route experiencing high traffic volume
Bangalore,"Traffic moving smoothly near Electronic City, all clear!",traffic moving smoothly near electronic city clear
Bangalore,"Traffic is heavy near Electronic City, please take another route.",traffic heavy near electronic city please take another route
Bangalore,"Avoid Kasavanahalli if possible, traffic jam reported.",avoid kasavanahalli possible traffic jam reported
Delhi,"Traffic moving smoothly near Dwarka, all clear!",traffic moving smoothly near dwarka clear
Delhi,"Traffic moving smoothly near Karol Bagh, all clear!",traffic moving smoothly near karol bagh clear
Hyderabad,Peak hour traffic near Gachibowli. Plan accordingly.,peak hour traffic near gachibowli plan accordingly
Mumbai,Accident reported near Colaba. Expect delays.,accident reported near colaba expect delays
Mumbai,Colaba route is experiencing high traffic volume.,colaba route experiencing high traffic volume
Bangalore,Koramangala route is experiencing high traffic volume.,koramangala route experiencing high traffic volume
Bangalore,"Traffic is heavy near Kasavanahalli, please take another route.",traffic heavy near kasavanahalli please take another route
Bangalore,"Police checkpoint near Electronic City, causing minor delays.",police checkpoint near electronic city causing minor delays
Hyderabad,"Road construction near Banjara Hills, causing slow traffic.",road construction near banjara hills causing slow traffic
Mumbai,"Avoid Dadar if possible, traffic jam reported.",avoid dadar possible traffic jam reported
Delhi,Vehicle breakdown near Connaught Place causing congestion.,vehicle breakdown near connaught place causing congestion
Hyderabad,"Road construction near Hitech City, causing slow traffic.",road construction near hitech city causing slow traffic
Mumbai,"Avoid Bandra if possible, traffic jam reported.",avoid bandra possible traffic jam reported
Bangalore,"Road construction near Kasavanahalli, causing slow traffic.",road construction near kasavanahalli causing slow traffic
Delhi,Connaught Place route is experiencing high traffic volume.,connaught place route experiencing high traffic volume
Delhi,"Police checkpoint near Karol Bagh, causing minor delays.",police checkpoint near karol bagh causing minor delays
Hyderabad,"Police checkpoint near Secunderabad, causing minor delays.",police checkpoint near secunderabad causing minor delays
Hyderabad,"Road construction near Gachibowli, causing slow traffic.",road construction near gachibowli causing slow traffic
Hyderabad,"Avoid Secunderabad if possible, traffic jam reported.",avoid secunderabad possible traffic jam reported
Delhi,Chandni Chowk route is experiencing high traffic volume.,chandni chowk route experiencing high traffic volume
Delhi,Peak hour traffic near Chandni Chowk. Plan accordingly.,peak hour traffic near chandni chowk plan accordingly
Hyderabad,"Avoid Banjara Hills if possible, traffic jam reported.",avoid banjara hills possible traffic jam reported
Bangalore,"Traffic moving smoothly near Marathahalli, all clear!",traffic moving smoothly near marathahalli clear
Bangalore,"Police checkpoint near Marathahalli, causing minor delays.",police checkpoint near marathahalli causing minor delays
Delhi,"Police checkpoint near Saket, causing minor delays.",police checkpoint near saket causing minor delays
Hyderabad,Accident reported near Hitech City. Expect delays.,accident reported near hitech city expect delays
Hyderabad,"Traffic moving smoothly near Secunderabad, all clear!",traffic moving smoothly near secunderabad clear
Hyderabad,Rain causing waterlogging near Secunderabad. Drive carefully!,rain causing waterlogging near secunderabad drive carefully
Hyderabad,Peak hour traffic near Jubilee Hills. Plan accordingly.,peak hour traffic near jubilee hills plan accordingly
Hyderabad,Secunderabad route is experiencing high traffic volume.,secunderabad route experiencing high traffic volume
Bangalore,"Traffic moving smoothly near Kasavanahalli, all clear!",traffic moving smoothly near kasavanahalli clear
Mumbai,Vehicle breakdown near Andheri causing congestion.,vehicle breakdown near andheri causing congestion
Bangalore,"Road construction near Indiranagar, causing slow traffic.",road construction near indiranagar causing slow traffic
Delhi,Rain causing waterlogging near Karol Bagh. Drive carefully!,rain causing waterlogging near karol bagh drive carefully
Mumbai,"Police checkpoint near Powai, causing minor delays.",police checkpoint near powai causing minor delays
Delhi,Vehicle breakdown near Dwarka causing congestion.,vehicle breakdown near dwarka causing congestion
Mumbai,Vehicle breakdown near Dadar causing congestion.,vehicle breakdown near dadar causing congestion
Hyderabad,Accident reported near Banjara Hills. Expect delays.,accident reported near banjara hills expect delays
Mumbai,"Traffic is heavy near Powai, please take another route.",traffic heavy near powai please take another route
Delhi,"Avoid Connaught Place if possible, traffic jam reported.",avoid connaught place possible traffic jam reported
Hyderabad,Vehicle breakdown near Jubilee Hills causing congestion.,vehicle breakdown near jubilee hills causing congestion
Bangalore,"Traffic is heavy near Indiranagar, please take another route.",traffic heavy near indiranagar please take another route
Hyderabad,Rain causing waterlogging near Banjara Hills. Drive carefully!,rain causing waterlogging near banjara hills drive carefully
Delhi,Accident reported near Saket. Expect delays.,accident reported near saket expect delays
Mumbai,"Traffic moving smoothly near Powai, all clear!",traffic moving smoothly near powai clear
Delhi,Peak hour traffic near Connaught Place. Plan accordingly.,peak hour traffic near connaught place plan accordingly
Bangalore,Peak hour traffic near Marathahalli. Plan accordingly.,peak hour traffic near marathahalli plan accordingly
Bangalore,"Traffic is heavy near Koramangala, please take another route.",traffic heavy near koramangala please take another route
Delhi,"Road construction near Saket, causing slow traffic.",road construction near saket causing slow traffic
Bangalore,"Police checkpoint near Koramangala, causing minor delays.",police checkpoint near koramangala causing minor delays
Bangalore,Peak hour traffic near Koramangala. Plan accordingly.,peak hour traffic near koramangala plan accordingly
Hyderabad,"Traffic is heavy near Secunderabad, please take another route.",traffic heavy near secunderabad please take another route
Delhi,"Police checkpoint near Connaught Place, causing minor delays.",police checkpoint near connaught place causing minor delays
Delhi,Rain causing waterlogging near Chandni Chowk. Drive carefully!,rain causing waterlogging near chandni chowk drive carefully
Mumbai,"Traffic moving smoothly near Andheri, all clear!",traffic moving smoothly near andheri clear
Delhi,"Traffic is heavy near Dwarka, please take another route.",traffic heavy near dwarka please take another route
Bangalore,Vehicle breakdown near Kasavanahalli causing congestion.,vehicle breakdown near kasavanahalli causing congestion
Hyderabad,Peak hour traffic near Hitech City. Plan accordingly.,peak hour traffic near hitech city plan accordingly
Bangalore,Rain causing waterlogging near Electronic City. Drive carefully!,rain causing waterlogging near electronic city drive carefully
Delhi,"Avoid Saket if possible, traffic jam reported.",avoid saket possible traffic jam reported
Delhi,"Traffic is heavy near Chandni Chowk, please take another route.",traffic heavy near chandni chowk please take another route
Mumbai,"Road construction near Dadar, causing slow traffic.",road construction near dadar causing slow traffic
Mumbai,Bandra route is experiencing high traffic volume.,bandra route experiencing high traffic volume
Bangalore,"Avoid Koramangala if possible, traffic jam reported.",avoid koramangala possible traffic jam reported
Bangalore,Indiranagar route is experiencing high traffic volume.,indiranagar route experiencing high traffic volume
Delhi,"Traffic moving smoothly near Connaught Place, all clear!",traffic moving smoothly near connaught place clear
Delhi,"Road construction near Chandni Chowk, causing slow traffic.",road construction near chandni chowk causing slow traffic
Delhi,Rain causing waterlogging near Dwarka. Drive carefully!,rain causing waterlogging near dwarka drive carefully
Mumbai,Vehicle breakdown near Bandra causing congestion.,vehicle breakdown near bandra causing congestion
Bangalore,"Avoid Electronic City if possible, traffic jam reported.",avoid electronic city possible traffic jam reported
Mumbai,Rain causing waterlogging near Colaba. Drive carefully!,rain causing waterlogging near colaba drive carefully
